Xinzhuang (1),                    line 1,      Waihuanlu:1.31,                            Xinzhuang (5):0.5 
Dahuasan Road,                    line 7,      Xingzhi Road:1.25,                         Xincun Road:1.06
Xincun Road,                      line 7,      Dahuasan Road:1.06,                        Langao Road:0.81
Langao Road,                      line 7,      Xincun Road:0.81,                          Zhenping Road (7):1.53
Zhenping Road (7),                line 7,      Langao Road:1.53,                          Changshou Road (7):1.03,                   //Zhenping Road (3):0.1//,             Zhenping Road (4):0.1
Changshou Road (7),               line 7,      Zhenping Road (7):1.03,                    Changping Road:0.75,                       //Changshou Road (13):0.1//
Changping Road,                   line 7,      Changshou Road (7):0.75,                   Jing'an Temple (7):1.38   
Jing'an Temple (7),               line 7,      Changping Road:1.38,                       Changshu Road (7):1.09,                    Jing'an Temple (2):0.1
Changshu Road (7),                line 7,      Jing'an Temple (7):1.09,                   Zhaojiabang Road (7):1.66,                 Changshu Road (1):0.1
Zhaojiabang Road (7),             line 7,      Changshu Road (7):1.66,                    Dong'an Road (7):0.96,                     Zhaojiabang Road (9):0.1
Dong'an Road (7),                 line 7,      Zhaojiabang Road (7):0.96,                 Middle Longhua Road (7):0.75,              Dong'an Road (4):0.1
Middle Longhua Road (7),          line 7,      Dong'an Road (7):0.75,                     Houtan:2.21,                               //Middle Longhua Road (12):0.1//
Houtan,                           line 7,      Middle Longhua Road (7):2.21,              hangqing Road (7):1.28
hangqing Road (7),                line 7,      Houtan:1.28,                               Yaohua Road (7):0.94,                      //hangqing Road (13):0.1//
Yaohua Road (7),                  line 7,      hangqing Road (7):0.94,                    Yuntai Road:0.73,                          //Yaohua Road (8):0.1//
Yuntai Road,                      line 7,      Yaohua Road (7):0.73,                      West Gaoke Road (7):0.97	
West Gaoke Road (7),              line 7,      Yuntai Road:0.97,                          South Yanggao Road:1.48,                   West Gaoke Road (6)0.1
South Yanggao Road,               line 7,      West Gaoke Road (7):1.48,                  Jinxiu Road:1.44
Jinxiu Road,                      line 7,      South Yanggao Road:1.44,                   Fanghua Road:1.45
Fanghua Road,                     line 7,      Jinxiu Road:1.45,                          Longyang Road (7):1.69
